Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise,Processed_Review,Sentiment,Estimated_Rating
R017,S101,C003,M005,"Some topics were covered in depth, others were rushed.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert,topic covered depth others rushed,Neutral,3
R018,S133,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,Low,Intermediate,didnt learn much expected,Neutral,3
R019,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,Low,Easy,Medium,Beginner,theoretical need practical example,Neutral,3
R020,S137,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,High,Moderate,Low,Expert,mentor explained well pace bit slow,Negative,1
R021,S131,C005,M002,Mentor did not respond to questions effectively.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate,mentor respond question effectively,Positive,4
R022,S149,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Difficult,High,Expert,mentor explained well pace bit slow,Negative,1
R023,S129,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate,topic covered depth others rushed,Neutral,3
R024,S138,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,Low,Difficult,High,Expert,mentor supportive responded quickly,Positive,4
R025,S103,C003,M001,Excellent teaching style and very interactive sessions.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert,excellent teaching style interactive session,Positive,4
R026,S109,C005,M005,Very basic and not engaging enough.,Deep Learning Advanced,Dr. V. Rao,Medium,Easy,Medium,Expert,basic engaging enough,Neutral,3
R027,S143,C004,M003,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,Medium,Expert,mentor explained well pace bit slow,Negative,1
R028,S142,C001,M001,The course lacked structure and was hard to follow.,Python for Beginners,Dr. A. Kumar,Medium,Easy,High,Expert,course lacked structure hard follow,Positive,4
R029,S135,C004,M002,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,Medium,Intermediate,excellent teaching style interactive session,Positive,4
R030,S105,C004,M005,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Dr. V. Rao,Low,Easy,High,Expert,mentor explained well pace bit slow,Negative,1
R031,S149,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate,course lacked structure hard follow,Negative,1
R032,S111,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Medium,Moderate,Medium,Expert,highly recommended course structure great,Positive,4
R033,S147,C005,M004,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Mr. L. Das,Low,Easy,Medium,Beginner,topic covered depth others rushed,Neutral,3
R034,S135,C001,M003,The course content was very informative and the mentor explained clearly.,Python for Beginners,Ms. R. Sharma,Low,Easy,High,Expert,course content informative mentor explained clearly,Neutral,3
R035,S134,C002,M001,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Dr. A. Kumar,High,Easy,Low,Expert,good much interaction mentor,Positive,4
R036,S116,C004,M001,Mentor was very supportive and responded quickly.,Machine Learning Basics,Dr. A. Kumar,High,Easy,High,Expert,mentor supportive responded quickly,Positive,4
R037,S127,C005,M005,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert,course lacked structure hard follow,Negative,1
R038,S126,C002,M003,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Ms. R. Sharma,Medium,Moderate,Low,Expert,loved example mentor expertise really show,Positive,4
R039,S137,C001,M001,Highly recommended! The course structure is great.,Python for Beginners,Dr. A. Kumar,High,Easy,High,Expert,highly recommended course structure great,Positive,4
R040,S105,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Easy,Medium,Expert,mentor explained well pace bit slow,Negative,1
R041,S142,C005,M001,I didn’t learn as much as I expected.,Deep Learning Advanced,Dr. A. Kumar,High,Difficult,Medium,Expert,didnt learn much expected,Neutral,3
R042,S109,C003,M001,The course lacked structure and was hard to follow.,Web Development,Dr. A. Kumar,Low,Difficult,High,Expert,course lacked structure hard follow,Negative,1
R043,S114,C003,M002,Loved the examples and the mentor’s expertise really shows.,Web Development,Prof. S. Mehta,High,Difficult,Medium,Intermediate,loved example mentor expertise really show,Positive,4
R044,S104,C001,M004,Very basic and not engaging enough.,Python for Beginners,Mr. L. Das,Medium,Easy,Low,Beginner,basic engaging enough,Neutral,3
R045,S117,C002,M004,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Mr. L. Das,High,Difficult,Medium,Beginner,mentor explained well pace bit slow,Negative,1
R046,S145,C002,M005,The course lacked structure and was hard to follow.,Data Science Fundamentals,Dr. V. Rao,Low,Moderate,High,Expert,course lacked structure hard follow,Negative,1
R047,S103,C003,M003,Mentor did not respond to questions effectively.,Web Development,Ms. R. Sharma,Low,Moderate,Low,Expert,mentor respond question effectively,Positive,4
R048,S123,C005,M004,Mentor did not respond to questions effectively.,Deep Learning Advanced,Mr. L. Das,High,Difficult,Low,Beginner,mentor respond question effectively,Positive,4
R049,S112,C004,M001,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Dr. A. Kumar,Low,Difficult,Medium,Expert,excellent teaching style interactive session,Positive,4
R050,S145,C001,M004,Mentor explained well but the pace was a bit slow.,Python for Beginners,Mr. L. Das,Low,Moderate,Low,Beginner,mentor explained well pace bit slow,Negative,1
R051,S115,C002,M001,Highly recommended! The course structure is great.,Data Science Fundamentals,Dr. A. Kumar,High,Easy,Medium,Expert,highly recommended course structure great,Positive,4
R052,S150,C003,M003,"Content was decent, not too exciting though.",Web Development,Ms. R. Sharma,High,Difficult,Medium,Expert,content decent exciting though,Positive,4
R053,S102,C001,M003,"Too theoretical, needs more practical examples.",Python for Beginners,Ms. R. Sharma,Low,Difficult,Medium,Expert,theoretical need practical example,Neutral,3
R054,S123,C003,M004,The course content was very informative and the mentor explained clearly.,Web Development,Mr. L. Das,High,Difficult,Low,Beginner,course content informative mentor explained clearly,Neutral,3
R055,S103,C004,M001,"Good, but not much interaction from the mentor.",Machine Learning Basics,Dr. A. Kumar,High,Difficult,High,Expert,good much interaction mentor,Positive,4
R056,S105,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Medium,Difficult,Low,Expert,mentor respond question effectively,Positive,4
R057,S143,C004,M003,I didnt learn as much as I expected.,Machine Learning Basics,Ms. R. Sharma,Medium,Difficult,Medium,Expert,didnt learn much expected,Neutral,3
R058,S143,C004,M002,Mentor did not respond to questions effectively.,Machine Learning Basics,Prof. S. Mehta,High,Difficult,Medium,Intermediate,mentor respond question effectively,Positive,4
R059,S120,C003,M002,"Good, but not much interaction from the mentor.",Web Development,Prof. S. Mehta,Medium,Difficult,High,Intermediate,good much interaction mentor,Positive,4
R060,S129,C002,M005,I didn’t learn as much as I expected.,Data Science Fundamentals,Dr. V. Rao,Medium,Difficult,Low,Expert,didnt learn much expected,Neutral,3
R061,S143,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,Low,Easy,High,Expert,course lacked structure hard follow,Negative,1
R062,S110,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,Low,Moderate,High,Expert,mentor explained well pace bit slow,Negative,1
R063,S141,C005,M002,Highly recommended! The course structure is great.,Deep Learning Advanced,Prof. S. Mehta,High,Difficult,Medium,Intermediate,highly recommended course structure great,Positive,4
R064,S142,C001,M001,"Some topics were covered in depth, others were rushed.",Python for Beginners,Dr. A. Kumar,Medium,Easy,High,Expert,topic covered depth others rushed,Positive,4
R065,S136,C002,M001,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Dr. A. Kumar,Medium,Easy,Medium,Expert,theoretical need practical example,Neutral,3
R066,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,High,Difficult,High,Beginner,theoretical need practical example,Neutral,3
R067,S111,C004,M004,"Good, but not much interaction from the mentor.",Machine Learning Basics,Mr. L. Das,Medium,Easy,High,Beginner,good much interaction mentor,Positive,4
R068,S116,C003,M004,"Good, but not much interaction from the mentor.",Web Development,Mr. L. Das,Low,Difficult,Medium,Beginner,good much interaction mentor,Positive,4
R069,S135,C001,M002,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate,loved example mentor expertise really show,Positive,4
R070,S105,C004,M004,Mentor did not respond to questions effectively.,Machine Learning Basics,Mr. L. Das,Medium,Difficult,Medium,Beginner,mentor respond question effectively,Positive,4
R071,S127,C004,M005,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Dr. V. Rao,High,Easy,High,Expert,course okay could use realworld example,Positive,4
R072,S123,C003,M004,"Some topics were covered in depth, others were rushed.",Web Development,Mr. L. Das,Medium,Difficult,High,Beginner,topic covered depth others rushed,Neutral,3
R073,S115,C004,M002,"Too theoretical, needs more practical examples.",Machine Learning Basics,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate,theoretical need practical example,Neutral,3
R074,S144,C004,M002,Highly recommended! The course structure is great.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,High,Intermediate,highly recommended course structure great,Positive,4
R075,S138,C005,M001,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. A. Kumar,Low,Difficult,Medium,Expert,course lacked structure hard follow,Negative,1
R076,S117,C004,M003,Highly recommended! The course structure is great.,Machine Learning Basics,Ms. R. Sharma,Low,Moderate,Medium,Expert,highly recommended course structure great,Positive,4
R077,S127,C003,M001,"Some topics were covered in depth, others were rushed.",Web Development,Dr. A. Kumar,Medium,Easy,High,Expert,topic covered depth others rushed,Neutral,3
R078,S123,C002,M001,The course lacked structure and was hard to follow.,Data Science Fundamentals,Dr. A. Kumar,High,Easy,Low,Expert,course lacked structure hard follow,Negative,1
R079,S140,C002,M002,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Prof. S. Mehta,Low,Moderate,High,Intermediate,excellent teaching style interactive session,Positive,4
R080,S130,C003,M003,Mentor was very supportive and responded quickly.,Web Development,Ms. R. Sharma,Low,Difficult,High,Expert,mentor supportive responded quickly,Positive,4
R081,S111,C003,M001,The course lacked structure and was hard to follow.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert,course lacked structure hard follow,Negative,1
R082,S146,C002,M001,Very basic and not engaging enough.,Data Science Fundamentals,Dr. A. Kumar,High,Difficult,High,Expert,basic engaging enough,Neutral,3
R083,S120,C005,M001,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Dr. A. Kumar,High,Easy,Medium,Expert,course content informative mentor explained clearly,Neutral,3
R084,S105,C005,M003,Very basic and not engaging enough.,Deep Learning Advanced,Ms. R. Sharma,Low,Moderate,Medium,Expert,basic engaging enough,Neutral,3
R085,S141,C004,M002,Highly recommended! The course structure is great.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,High,Intermediate,highly recommended course structure great,Positive,4
R086,S135,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Medium,Difficult,High,Beginner,didnt learn much expected,Neutral,3
R087,S106,C003,M004,"Content was decent, not too exciting though.",Web Development,Mr. L. Das,Low,Moderate,High,Beginner,content decent exciting though,Positive,4
R088,S132,C003,M002,Very basic and not engaging enough.,Web Development,Prof. S. Mehta,Medium,Easy,Medium,Intermediate,basic engaging enough,Neutral,3
R089,S139,C003,M005,"Content was decent, not too exciting though.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert,content decent exciting though,Positive,4
R090,S132,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,High,Moderate,High,Intermediate,excellent teaching style interactive session,Positive,4
R091,S102,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Moderate,High,Expert,basic engaging enough,Neutral,3
R092,S124,C004,M005,Loved the examples and the mentor’s expertise really shows.,Machine Learning Basics,Dr. V. Rao,High,Moderate,Medium,Expert,loved example mentor expertise really show,Positive,4
R093,S145,C004,M003,"Too theoretical, needs more practical examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,Low,Expert,theoretical need practical example,Neutral,3
R094,S148,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,Low,Easy,High,Intermediate,excellent teaching style interactive session,Positive,4
R095,S149,C005,M005,"Content was decent, not too exciting though.",Deep Learning Advanced,Dr. V. Rao,Medium,Easy,Low,Expert,content decent exciting though,Positive,4
R096,S120,C001,M005,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. V. Rao,Low,Moderate,Low,Expert,mentor explained well pace bit slow,Negative,1
R097,S109,C004,M001,Mentor was very supportive and responded quickly.,Machine Learning Basics,Dr. A. Kumar,Low,Difficult,Medium,Expert,mentor supportive responded quickly,Positive,4
R098,S112,C001,M003,"Some topics were covered in depth, others were rushed.",Python for Beginners,Ms. R. Sharma,Medium,Easy,Low,Expert,topic covered depth others rushed,Neutral,3
R099,S141,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Difficult,Medium,Intermediate,topic covered depth others rushed,Neutral,3
R100,S149,C004,M005,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Dr. V. Rao,High,Difficult,Low,Expert,excellent teaching style interactive session,Positive,4
R101,S129,C003,M005,Very basic and not engaging enough.,Web Development,Dr. V. Rao,Medium,Moderate,High,Expert,basic engaging enough,Neutral,3
R102,S148,C001,M002,The course lacked structure and was hard to follow.,Python for Beginners,Prof. S. Mehta,High,Easy,Medium,Intermediate,course lacked structure hard follow,Negative,1
R103,S112,C005,M001,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. A. Kumar,Low,Easy,Medium,Expert,course lacked structure hard follow,Negative,1
R104,S103,C002,M003,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Ms. R. Sharma,High,Moderate,High,Expert,good much interaction mentor,Positive,4
R105,S117,C005,M002,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Prof. S. Mehta,Medium,Easy,High,Intermediate,course okay could use realworld example,Positive,4
R106,S110,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Moderate,High,Expert,excellent teaching style interactive session,Positive,4
R107,S129,C001,M004,"Too theoretical, needs more practical examples.",Python for Beginners,Mr. L. Das,High,Moderate,High,Beginner,theoretical need practical example,Neutral,3
R108,S132,C004,M001,"Content was decent, not too exciting though.",Machine Learning Basics,Dr. A. Kumar,High,Easy,Medium,Expert,content decent exciting though,Positive,4
R109,S102,C001,M002,I didn’t learn as much as I expected.,Python for Beginners,Prof. S. Mehta,High,Difficult,High,Intermediate,didnt learn much expected,Neutral,3
R110,S149,C002,M004,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Mr. L. Das,High,Difficult,Medium,Beginner,loved example mentor expertise really show,Positive,4
R111,S128,C004,M001,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Dr. A. Kumar,Medium,Moderate,Medium,Expert,mentor explained well pace bit slow,Negative,1
R112,S111,C003,M004,"Content was decent, not too exciting though.",Web Development,Mr. L. Das,High,Moderate,Medium,Beginner,content decent exciting though,Positive,4
R113,S136,C001,M004,Very basic and not engaging enough.,Python for Beginners,Mr. L. Das,Low,Moderate,Medium,Beginner,basic engaging enough,Neutral,3
R114,S126,C005,M001,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Dr. A. Kumar,High,Difficult,Medium,Expert,course okay could use realworld example,Positive,4
R115,S124,C005,M004,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Mr. L. Das,High,Moderate,Low,Beginner,course okay could use realworld example,Positive,4
R116,S119,C004,M004,Loved the examples and the mentor’s expertise really shows.,Machine Learning Basics,Mr. L. Das,Low,Easy,High,Beginner,loved example mentor expertise really show,Positive,4
R117,S120,C005,M001,Mentor did not respond to questions effectively.,Deep Learning Advanced,Dr. A. Kumar,High,Moderate,Low,Expert,mentor respond question effectively,Positive,4
R118,S108,C002,M004,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Mr. L. Das,High,Moderate,High,Beginner,course content informative mentor explained clearly,Neutral,3
R119,S131,C004,M002,I didn’t learn as much as I expected.,Machine Learning Basics,Prof. S. Mehta,Medium,Difficult,Low,Intermediate,didnt learn much expected,Neutral,3
R120,S133,C002,M001,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,Medium,Expert,mentor explained well pace bit slow,Negative,1
R121,S119,C003,M005,I didn’t learn as much as I expected.,Web Development,Dr. V. Rao,High,Difficult,Medium,Expert,didnt learn much expected,Neutral,3
R122,S123,C003,M005,Highly recommended! The course structure is great.,Web Development,Dr. V. Rao,High,Moderate,Medium,Expert,highly recommended course structure great,Positive,4
R123,S116,C005,M004,Mentor explained well but the pace was a bit slow.,Deep Learning Advanced,Mr. L. Das,Low,Moderate,Low,Beginner,mentor explained well pace bit slow,Negative,1
R124,S125,C004,M002,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Prof. S. Mehta,Medium,Easy,Low,Intermediate,topic covered depth others rushed,Neutral,3
R125,S107,C004,M001,"Too theoretical, needs more practical examples.",Machine Learning Basics,Dr. A. Kumar,High,Moderate,Low,Expert,theoretical need practical example,Neutral,3
R126,S142,C002,M001,Mentor did not respond to questions effectively.,Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,Medium,Expert,mentor respond question effectively,Positive,4
R127,S122,C005,M004,Very basic and not engaging enough.,Deep Learning Advanced,Mr. L. Das,Medium,Difficult,High,Beginner,basic engaging enough,Neutral,3
R128,S105,C002,M003,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Ms. R. Sharma,Low,Difficult,Low,Expert,good much interaction mentor,Positive,4
R129,S146,C001,M004,"The course was okay, but could use more real-world examples.",Python for Beginners,Mr. L. Das,Low,Difficult,Medium,Beginner,course okay could use realworld example,Positive,4
R130,S104,C003,M003,The course content was very informative and the mentor explained clearly.,Web Development,Ms. R. Sharma,Medium,Moderate,Low,Expert,course content informative mentor explained clearly,Neutral,3
R131,S144,C002,M002,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Prof. S. Mehta,Low,Easy,High,Intermediate,mentor supportive responded quickly,Positive,4
R132,S132,C005,M002,"Good, but not much interaction from the mentor.",Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,High,Intermediate,good much interaction mentor,Positive,4
R133,S101,C004,M003,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Ms. R. Sharma,High,Difficult,Low,Expert,topic covered depth others rushed,Neutral,3
R134,S138,C003,M004,Highly recommended! The course structure is great.,Web Development,Mr. L. Das,High,Moderate,Medium,Beginner,highly recommended course structure great,Positive,4
R135,S131,C001,M002,Mentor explained well but the pace was a bit slow.,Python for Beginners,Prof. S. Mehta,Medium,Difficult,Medium,Intermediate,mentor explained well pace bit slow,Negative,1
R136,S119,C001,M004,I didn’t learn as much as I expected.,Python for Beginners,Mr. L. Das,Medium,Easy,High,Beginner,didnt learn much expected,Neutral,3
R137,S148,C004,M003,The course lacked structure and was hard to follow.,Machine Learning Basics,Ms. R. Sharma,Low,Difficult,Medium,Expert,course lacked structure hard follow,Negative,1
R138,S144,C002,M001,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Dr. A. Kumar,High,Difficult,Low,Expert,excellent teaching style interactive session,Positive,4
R139,S124,C002,M001,"Some topics were covered in depth, others were rushed.",Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,High,Expert,topic covered depth others rushed,Neutral,3
R140,S135,C003,M005,Mentor explained well but the pace was a bit slow.,Web Development,Dr. V. Rao,High,Moderate,Low,Expert,mentor explained well pace bit slow,Negative,1
R141,S119,C003,M001,"Some topics were covered in depth, others were rushed.",Web Development,Dr. A. Kumar,Medium,Easy,Low,Expert,topic covered depth others rushed,Neutral,3
R142,S136,C003,M001,Highly recommended! The course structure is great.,Web Development,Dr. A. Kumar,Medium,Easy,Medium,Expert,highly recommended course structure great,Positive,4
R143,S144,C003,M005,The course lacked structure and was hard to follow.,Web Development,Dr. V. Rao,Medium,Difficult,Medium,Expert,course lacked structure hard follow,Negative,1
R144,S140,C005,M003,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Ms. R. Sharma,High,Easy,High,Expert,excellent teaching style interactive session,Positive,4
R145,S120,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Low,Easy,Low,Expert,highly recommended course structure great,Positive,4
R146,S116,C005,M002,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate,topic covered depth others rushed,Neutral,3
R147,S148,C002,M004,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Mr. L. Das,High,Easy,Medium,Beginner,theoretical need practical example,Neutral,3
R148,S118,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Moderate,Medium,Expert,basic engaging enough,Neutral,3
R149,S144,C003,M005,Loved the examples and the mentor’s expertise really shows.,Web Development,Dr. V. Rao,High,Moderate,Low,Expert,loved example mentor expertise really show,Positive,4
R150,S108,C004,M001,"Content was decent, not too exciting though.",Machine Learning Basics,Dr. A. Kumar,High,Easy,High,Expert,content decent exciting though,Positive,4
R151,S104,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Low,Difficult,Low,Intermediate,theoretical need practical example,Neutral,3
R152,S114,C002,M003,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Ms. R. Sharma,Low,Difficult,Low,Expert,mentor supportive responded quickly,Positive,4
R153,S135,C003,M002,Mentor explained well but the pace was a bit slow.,Web Development,Prof. S. Mehta,Low,Difficult,Low,Intermediate,mentor explained well pace bit slow,Negative,1
R154,S116,C005,M003,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Ms. R. Sharma,Low,Easy,Medium,Expert,course content informative mentor explained clearly,Neutral,3
R155,S134,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Medium,Moderate,Medium,Expert,excellent teaching style interactive session,Positive,4
R156,S133,C002,M005,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Dr. V. Rao,Low,Difficult,High,Expert,theoretical need practical example,Neutral,3
R157,S102,C001,M004,I didn’t learn as much as I expected.,Python for Beginners,Mr. L. Das,Medium,Moderate,High,Beginner,didnt learn much expected,Neutral,3
R158,S129,C001,M001,Highly recommended! The course structure is great.,Python for Beginners,Dr. A. Kumar,Medium,Difficult,Low,Expert,highly recommended course structure great,Positive,4
R159,S141,C005,M005,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert,excellent teaching style interactive session,Positive,4
R160,S133,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Difficult,Low,Beginner,theoretical need practical example,Neutral,3
R161,S114,C004,M004,"Too theoretical, needs more practical examples.",Machine Learning Basics,Mr. L. Das,Low,Moderate,Medium,Beginner,theoretical need practical example,Neutral,3
R162,S107,C003,M004,"Some topics were covered in depth, others were rushed.",Web Development,Mr. L. Das,Medium,Difficult,Medium,Beginner,topic covered depth others rushed,Neutral,3
R163,S131,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,Low,Easy,Medium,Expert,mentor explained well pace bit slow,Negative,1
R164,S136,C001,M005,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Dr. V. Rao,High,Difficult,Medium,Expert,loved example mentor expertise really show,Positive,4
R165,S143,C004,M001,The course lacked structure and was hard to follow.,Machine Learning Basics,Dr. A. Kumar,Medium,Difficult,Medium,Expert,course lacked structure hard follow,Negative,1
R166,S114,C002,M004,"The course was okay, but could use more real-world examples.",Data Science Fundamentals,Mr. L. Das,Low,Easy,Medium,Beginner,course okay could use realworld example,Positive,4
R167,S118,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate,didnt learn much expected,Neutral,3
R168,S143,C003,M001,"Too theoretical, needs more practical examples.",Web Development,Dr. A. Kumar,Low,Moderate,High,Expert,theoretical need practical example,Neutral,3
R169,S112,C002,M005,"Content was decent, not too exciting though.",Data Science Fundamentals,Dr. V. Rao,High,Moderate,Low,Expert,content decent exciting though,Positive,4
R170,S134,C002,M004,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Mr. L. Das,Medium,Moderate,Medium,Beginner,course content informative mentor explained clearly,Neutral,3
R171,S121,C005,M005,Loved the examples and the mentor’s expertise really shows.,Deep Learning Advanced,Dr. V. Rao,Low,Easy,Low,Expert,loved example mentor expertise really show,Positive,4
